,Name,bhandhlyp-d3bj-DFT-forward,bhandhlyp-d3bj-DFT-reverse,bhandhlyp-d3bj-DFT-reaction,cam-b3lyp-DFT-forward,cam-b3lyp-DFT-reverse,cam-b3lyp-DFT-reaction,cam-b3lyp-d3bj-DFT-forward,cam-b3lyp-d3bj-DFT-reverse,cam-b3lyp-d3bj-DFT-reaction,blyp-DFT-forward,blyp-DFT-reverse,blyp-DFT-reaction,b3lyp-DFT-forward,b3lyp-DFT-reverse,b3lyp-DFT-reaction,bhandhlyp-DFT-forward,bhandhlyp-DFT-reverse,bhandhlyp-DFT-reaction,blyp-d3bj-DFT-forward,blyp-d3bj-DFT-reverse,blyp-d3bj-DFT-reaction,b3lyp-d3bj-DFT-forward,b3lyp-d3bj-DFT-reverse,b3lyp-d3bj-DFT-reaction,Range_DFT_forward,Std_DFT_forward,Range_DFT_reverse,Std_DFT_reverse,Range_DFT_reaction,Std_DFT_reaction
55,rxn_2676,10.321,53.147,-42.827,15.615,51.445,-35.83,8.673,50.777,-42.104,16.93,35.196,-18.265,17.121,43.207,-26.086,20.025,53.815,-33.791,1.693,34.162,-32.47,4.546,42.334,-37.788,18.331999999999997,6.585026347707349,19.653,7.935533035251723,24.561999999999998,8.219204870084974
56,rxn_2720,10.28,53.535,-43.255,20.803,53.024,-32.221,9.233,51.98,-42.747,25.127,39.069,-13.942,23.844,45.976,-22.133,25.053,54.837,-29.784,2.245,37.027,-34.782,4.802,44.282,-39.48,22.881999999999998,9.543101696101894,17.810000000000002,6.910367444230857,29.313000000000002,10.237080471082981
57,rxn_2759,14.921,55.404,-40.483,25.916,54.699,-28.783,13.8,53.622,-39.822,31.003,39.382,-8.379,29.666,47.026,-17.36,30.647,56.679,-26.032,6.6,37.373,-30.773,9.388,45.357,-35.969,24.403,10.133361308604085,19.306000000000004,7.539663686133488,32.104,11.134488998955327
58,rxn_2760,11.867,54.371,-42.505,21.818,53.965,-32.147,10.708,52.728,-42.02,25.574,39.626,-14.052,24.521,46.739,-22.217,26.012,55.823,-29.811,3.679,37.366,-33.688,6.294,44.854,-38.56,22.333000000000002,9.170559640774384,18.457,7.112831463529235,28.453000000000003,9.85005070327777
59,rxn_2890,16.52,54.049,-37.53,23.273,52.753,-29.48,15.361,52.167,-36.806,24.404,36.144,-11.74,24.443,44.158,-19.715,27.165,54.545,-27.38,7.77,35.373,-27.603,10.681,43.501,-32.82,19.395,7.148993584264652,19.172000000000004,7.9138273339408025,25.79,8.678816455682686
60,rxn_2972,28.147,50.716,-22.569,34.927,46.817,-11.89,25.258,45.863,-20.605,38.733,28.043,10.69,38.34,38.171,0.169,40.174,51.877,-11.704,20.144,26.253,-6.109,22.808,36.672,-13.864,20.03,7.9218957135542105,25.624000000000002,9.861030864685787,33.259,10.930669823286873
61,rxn_3030,15.941,51.015,-35.074,20.7,45.87,-25.17,13.008,45.749,-32.741,24.721,26.3,-1.579,24.005,36.794,-12.789,25.613,51.404,-25.791,9.75,25.583,-15.833,11.516,36.236,-24.72,15.863,6.386899219719781,25.821000000000005,10.272972951772879,33.495,11.066979281209226
62,rxn_3198,7.589,46.529,-38.941,12.871,42.779,-29.908,5.979,42.257,-36.277,17.624,24.938,-7.314,16.383,34.588,-18.205,16.58,47.585,-31.005,3.598,23.151,-19.553,4.725,33.159,-28.434,14.026,5.826334572745666,24.434,9.423421440371706,31.627000000000002,10.491428568632315
63,rxn_3225,15.902,51.186,-35.284,21.902,47.936,-26.035,13.32,46.355,-33.035,25.828,29.778,-3.949,25.182,39.631,-14.449,26.543,53.256,-26.713,9.396,26.521,-17.126,11.454,36.935,-25.481,17.147,6.973742906431237,26.735,9.878571061357292,31.335,10.356849120957865
64,rxn_3483,22.994,46.285,-23.291,30.48,43.704,-13.223,20.286,41.865,-21.579,35.921,25.946,9.975,34.668,35.453,-0.786,35.407,48.623,-13.216,16.821,22.261,-5.44,18.682,32.393,-13.711,19.099999999999998,8.062513573631984,26.362,9.657926259961666,33.266,11.017621722073882
