,Type,rxn_smiles
67,Diels-Alder,C=C(C=COC)OC.O=C1C=CC(=O)c2c(O)cccc21>>COC1=C[C@@H](OC)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]2C1
68,Diels-Alder,C=C(O)C=COC.O=C1C=CC(=O)c2c(O)cccc21>>CO[C@@H]1C=C(O)C[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]21
69,Diels-Alder,C=C(C#N)C=COC.O=C1C=CC(=O)c2c(O)cccc21>>CO[C@@H]1C=C(C#N)C[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]21
70,Diels-Alder,C=C(C=COC)C(=O)OC.O=C1C=CC(=O)c2c(O)cccc21>>COC(=O)C1=C[C@@H](OC)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]2C1
71,Diels-Alder,C=C(C=COC)OC(C)=O.O=C1C=CC(=O)c2c(O)cccc21>>CO[C@@H]1C=C(OC(C)=O)C[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]21
72,Diels-Alder,C=C(C=COC)NC.O=C1C=CC(=O)c2c(O)cccc21>>CNC1=C[C@@H](OC)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]2C1
73,Diels-Alder,C=C(C=COC)SC.O=C1C=CC(=O)c2c(O)cccc21>>CO[C@@H]1C=C(SC)C[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]21
74,Diels-Alder,CC=CC=COC.O=C1C=CC(=O)c2c(O)cccc21>>CO[C@@H]1C=C[C@H](C)[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]21
75,Diels-Alder,COC=CC=CF.O=C1C=CC(=O)c2c(O)cccc21>>CO[C@@H]1C=C[C@H](F)[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]21
76,Diels-Alder,COC=CC=COC.O=C1C=CC(=O)c2c(O)cccc21>>CO[C@H]1C=C[C@@H](OC)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]21
77,Diels-Alder,COC=CC=CO.O=C1C=CC(=O)c2c(O)cccc21>>CO[C@@H]1C=C[C@H](O)[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]21
78,Diels-Alder,COC=CC=CC#N.O=C1C=CC(=O)c2c(O)cccc21>>CO[C@@H]1C=C[C@H](C#N)[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]21
