,Type,Name,bhandhlyp-d3bj-DFT-forward,REF-forward,bhandhlyp-d3bj-DELTA-forward,bhandhlyp-d3bj-DFT-reverse,REF-reverse,bhandhlyp-d3bj-DELTA-reverse,bhandhlyp-d3bj-DFT-reaction,REF-reaction,bhandhlyp-d3bj-DELTA-reaction,cam-b3lyp-d3bj-DFT-forward,cam-b3lyp-d3bj-DELTA-forward,cam-b3lyp-d3bj-DFT-reverse,cam-b3lyp-d3bj-DELTA-reverse,cam-b3lyp-d3bj-DFT-reaction,cam-b3lyp-d3bj-DELTA-reaction,blyp-d3bj-DFT-forward,blyp-d3bj-DELTA-forward,blyp-d3bj-DFT-reverse,blyp-d3bj-DELTA-reverse,blyp-d3bj-DFT-reaction,blyp-d3bj-DELTA-reaction,b3lyp-d3bj-DFT-forward,b3lyp-d3bj-DELTA-forward,b3lyp-d3bj-DFT-reverse,b3lyp-d3bj-DELTA-reverse,b3lyp-d3bj-DFT-reaction,b3lyp-d3bj-DELTA-reaction,Range_DFT_forward,Std_DFT_forward,Range_DFT_reverse,Std_DFT_reverse,Range_DFT_reaction,Std_DFT_reaction
50,[3+2]cycloaddition,02_51,0.301,-1.95,2.251,23.294,24.26,-0.966,-22.993,-26.21,3.217,-1.72,0.23,18.786,-5.474,-20.506,5.704,-2.3,-0.35,2.335,-21.925,-4.635,21.575,-1.637,0.313,11.397,-12.863,-13.034,13.176,2.601,1.1324142351630873,20.959,9.167392031906711,18.357999999999997,8.269651544452563
51,[3+2]cycloaddition,02_52,17.207,12.39,4.817,40.856,36.11,4.746,-23.649,-23.72,0.071,14.268,1.878,35.894,-0.216,-21.626,2.094,11.014,-1.376,17.27,-18.84,-6.255,17.465,12.792,0.402,27.061,-9.049,-14.269,9.451,6.193000000000001,2.620616514613817,23.586000000000002,10.376101592120232,17.394000000000002,7.901716327271353
52,[3+2]cycloaddition,02_53,13.069,10.45,2.619,38.263,35.89,2.373,-25.194,-25.44,0.246,11.063,0.613,34.512,-1.378,-23.449,1.991,9.112,-1.338,16.792,-19.098,-7.68,17.76,10.169,-0.281,25.972,-9.918,-15.804,9.636,3.9570000000000007,1.6786594602042828,21.470999999999997,9.562709357185335,17.514,8.015942879661756
53,[3+2]cycloaddition,02_54,0.062,-0.12,0.182,28.139,26.38,1.759,-28.077,-26.5,-1.577,-0.543,-0.423,24.986,-1.394,-25.529,0.971,2.986,3.106,11.929,-14.451,-8.943,17.557,1.571,1.691,19.341,-7.039,-17.771,8.729,3.5290000000000004,1.5842438785321744,16.21,7.1145351862694906,19.134,8.621830045491116
54,[3+2]cycloaddition,02_55,16.491,12.65,3.841,59.238,52.78,6.458,-42.747,-40.12,-2.627,13.589,0.939,54.669,1.889,-41.08,-0.96,7.685,-4.965,33.478,-19.302,-25.793,14.327,10.981,-1.669,44.571,-8.209,-33.589,6.531,8.806000000000001,3.7511091248678263,25.759999999999998,11.451553693713354,16.954,7.771052239990841
55,[3+2]cycloaddition,02_56,15.569,11.6,3.969,99.786,91.82,7.966,-84.218,-80.21,-4.008,12.333,0.733,94.942,3.122,-82.609,-2.399,6.818,-4.782,73.643,-18.177,-66.825,13.385,10.096,-1.504,85.567,-6.253,-75.47,4.74,8.751000000000001,3.6874799886462664,26.143,11.52106964073504,17.393,7.9397147094002465
56,[3+2]cycloaddition,02_57,12.793,8.1,4.693,93.226,84.96,8.266,-80.433,-76.87,-3.563,9.7,1.6,88.766,3.806,-79.066,-2.196,4.815,-3.285,66.694,-18.266,-61.879,14.991,7.706,-0.394,78.693,-6.267,-70.987,5.883,7.977999999999999,3.3577006517357475,26.531999999999996,11.788628797136106,18.55400000000001,8.558452912179868
57,[3+2]cycloaddition,02_58,20.379,15.43,4.949,74.377,68.29,6.087,-53.997,-52.86,-1.137,17.138,1.708,69.628,1.338,-52.49,0.37,10.995,-4.435,48.849,-19.441,-37.853,15.007,14.521,-0.909,59.999,-8.291,-45.478,7.382,9.384000000000002,3.9780388279486005,25.528,11.290724995174873,16.144,7.399457660306373
58,[3+2]cycloaddition,02_59,19.988,15.3,4.688,73.752,67.99,5.762,-53.764,-52.69,-1.074,16.842,1.542,69.011,1.021,-52.17,0.52,10.626,-4.674,48.201,-19.789,-37.575,15.115,14.15,-1.15,59.371,-8.619,-45.221,7.469,9.362,3.978386398193787,25.550999999999995,11.302280164491881,16.189,7.401415112440774
59,[3+2]cycloaddition,02_60,9.558,5.93,3.628,94.124,86.94,7.184,-84.566,-81.0,-3.566,6.681,0.751,89.584,2.644,-82.903,-1.903,1.538,-4.392,67.804,-19.136,-66.265,14.735,4.509,-1.421,79.884,-7.056,-75.375,5.625,8.02,3.3922068038372895,26.319999999999993,11.656601849023865,18.301000000000002,8.359887255021247
60,[3+2]cycloaddition,02_61,1.235,0.41,0.825,53.374,56.6,-3.226,-52.139,-56.19,4.051,1.403,0.993,51.534,-5.066,-50.132,6.058,-2.439,-2.849,33.199,-23.401,-35.638,20.552,-0.872,-1.282,42.636,-13.964,-43.508,12.682,3.842,1.8338944671563482,20.175000000000004,9.265187833138267,16.501000000000005,7.4537212350610496
61,[3+2]cycloaddition,02_62,6.256,3.87,2.386,56.549,58.42,-1.871,-50.293,-54.55,4.257,5.944,2.074,54.153,-4.267,-48.209,6.341,1.232,-2.638,34.797,-23.623,-33.565,20.985,3.269,-0.601,44.834,-13.586,-41.565,12.985,5.024,2.3764123344515222,21.752000000000002,9.909471105126315,16.728,7.543962795949267
62,[3+2]cycloaddition,02_63,20.887,16.87,4.017,40.635,41.5,-0.865,-19.748,-24.63,4.882,19.883,3.013,38.905,-2.595,-19.022,5.608,16.824,-0.046,22.825,-18.675,-6.002,18.628,18.492,1.622,31.105,-10.395,-12.613,12.017,4.062999999999999,1.763675045655141,17.81,8.159731919615988,13.746000000000002,6.420597187956895
